word count,filename
1670,TRAINING/TRAIN_04213.term
1616,TRAINING/TRAIN_02394.term
1486,TRAINING/TRAIN_00093.term
1479,TRAINING/TRAIN_04000.term
1478,TRAINING/TRAIN_03884.term
1435,TRAINING/TRAIN_03368.term
1400,TRAINING/TRAIN_01787.term
1389,TRAINING/TRAIN_01513.term
1371,TRAINING/TRAIN_04318.term
1354,TRAINING/TRAIN_03699.term
1333,TRAINING/TRAIN_02825.term
1304,TRAINING/TRAIN_01808.term
1303,TRAINING/TRAIN_01368.term
1289,TRAINING/TRAIN_01218.term
1288,TRAINING/TRAIN_02068.term
1285,TRAINING/TRAIN_03873.term
1280,TRAINING/TRAIN_00362.term
1274,TRAINING/TRAIN_01030.term
1248,TRAINING/TRAIN_01892.term
1204,TRAINING/TRAIN_00887.term
1178,TRAINING/TRAIN_01406.term
1140,TRAINING/TRAIN_00358.term
1102,TRAINING/TRAIN_00821.term
1077,TRAINING/TRAIN_03516.term
1071,TRAINING/TRAIN_02000.term
1061,TRAINING/TRAIN_04122.term
1058,TRAINING/TRAIN_04149.term
1057,TRAINING/TRAIN_01019.term
1045,TRAINING/TRAIN_01323.term
1037,TRAINING/TRAIN_01293.term
1029,TRAINING/TRAIN_00897.term
1027,TRAINING/TRAIN_03112.term
1025,TRAINING/TRAIN_04097.term
1023,TRAINING/TRAIN_01361.term
1018,TRAINING/TRAIN_00559.term
1017,TRAINING/TRAIN_00977.term
1012,TRAINING/TRAIN_02745.term
1002,TRAINING/TRAIN_02022.term
1001,TRAINING/TRAIN_02562.term
1001,TRAINING/TRAIN_01321.term
1000,TRAINING/TRAIN_04025.term
999,TRAINING/TRAIN_00650.term
991,TRAINING/TRAIN_01859.term
989,TRAINING/TRAIN_03924.term
976,TRAINING/TRAIN_04014.term
972,TRAINING/TRAIN_00166.term
970,TRAINING/TRAIN_01025.term
968,TRAINING/TRAIN_03702.term
968,TRAINING/TRAIN_01890.term
966,TRAINING/TRAIN_02648.term
965,TRAINING/TRAIN_02573.term
965,TRAINING/TRAIN_00335.term
960,TRAINING/TRAIN_02527.term
953,TRAINING/TRAIN_01678.term
947,TRAINING/TRAIN_01735.term
945,TRAINING/TRAIN_01394.term
942,TRAINING/TRAIN_02005.term
933,TRAINING/TRAIN_01586.term
929,TRAINING/TRAIN_00242.term
924,TRAINING/TRAIN_02312.term
917,TRAINING/TRAIN_03599.term
912,TRAINING/TRAIN_02200.term
902,TRAINING/TRAIN_04002.term
898,TRAINING/TRAIN_00140.term
896,TRAINING/TRAIN_03225.term
893,TRAINING/TRAIN_00834.term
892,TRAINING/TRAIN_04057.term
